name,level,category,refmet_id,biomapper_id,refmet_node,bm_node,refmet_in_kg,arm,n_candidates,bm_rank,refmet_rank,rank1_score,refmet_score,score_gap,outcome,refmet_has_RM,bm_has_RM
glycerophosphoethanolamine,CURATION,parent/child or substring (generic vs specific),CHEBI:16929,CHEBI:36314,CHEBI:143890,CHEBI:36314,True,chebi_filter,50,1,,3.2203,,,refmet_absent,True,False
glycerophosphoinositol*,CURATION,divergent (different compound),CHEBI:166490,CHEBI:35771,RM:0157135,CHEBI:35771,True,chebi_filter,50,2,,1.573,,,refmet_absent,True,False
glycochenodeoxycholate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:36274,CHEBI:36252,CHEBI:36274,CHEBI:36252,True,chebi_filter,50,1,2,4.9069,2.4356,2.4713,refmet_ranked_low,True,False
glycocholate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:17687,CHEBI:29746,CHEBI:17687,CHEBI:29746,True,chebi_filter,50,1,2,3.2296,2.4636,0.766,refmet_ranked_low,True,False
glycodeoxycholate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:27471,CHEBI:82982,CHEBI:27471,CHEBI:82982,True,chebi_filter,50,1,2,4.9106,2.4351,2.4756,refmet_ranked_low,True,False
guanidinoacetate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:16344,CHEBI:131444,CHEBI:16344,CHEBI:131444,True,chebi_filter,50,1,3,4.9095,2.4651,2.4444,refmet_ranked_low,True,False
"gulono-1,4-lactone",MS2,divergent (different compound),CHEBI:177057,CHEBI:17587,CHEBI:177057,CHEBI:17587,True,chebi_filter,50,1,5,1.4193,0.7127,0.7066,refmet_ranked_low,True,True
heptanoate (7:0),CURATION,parent/child or substring (generic vs specific),CHEBI:45571,CHEBI:179775,CHEBI:45571,CHEBI:179775,True,chebi_filter,50,1,,1.4386,,,refmet_absent,True,False
hexadecadienoate (16:2n6),CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:86147,CHEBI:78096,LM:FA01030807,CHEBI:78096,True,chebi_filter,50,1,,1.4925,,,refmet_absent,True,False
histidine,CURATION,multi-id (biomapper ambiguous set),CHEBI:27570,CHEBI:15971|CHEBI:57595,CHEBI:27947,CHEBI:15971,True,chebi_filter,50,1,2,2.4883,2.4006,0.0877,refmet_ranked_low,True,True
