name,level,refmet_id,refmet_name,biomapper_id,biomapper_name,category
LPC 18:1,MS2,28610,1-O-oleoyl-sn-glycero-3-phosphocholine,72589,1-elaidoyl-sn-glycero-3-phosphocholine,divergent (different compound)
N-acetylasparagine,MS2,138368,N-acetylasparagine,139582,N-alpha-acetyl-L-asparagine,same-molecule variant (stereo/charge/acid-anion)
N-acetylhistidine,CURATION,86910,N-acetylhistidine,16437,N-acetyl-L-histidine,same-molecule variant (stereo/charge/acid-anion)
N-acetylneuraminate,CURATION,17012,N-acetylneuraminic acid,45744,N-acetyl-beta-neuraminic acid,same-molecule variant (stereo/charge/acid-anion)
N-acetylphenylalanine,CURATION,21626,N-acetylphenylalanine,16259,N-acetyl-L-phenylalanine,same-molecule variant (stereo/charge/acid-anion)
N-acetyltryptophan,CURATION,70976,N-acetyltryptophan,74640,N-acetyl-L-tryptophan,same-molecule variant (stereo/charge/acid-anion)
N6-methyllysine,CURATION,64349,N(6)-methyllysine,17604,N(6)-methyl-L-lysine,same-molecule variant (stereo/charge/acid-anion)
O-sulfo-tyrosine,CURATION,46215,O(4')-sulfo-L-tyrosine,232819,Sulfo-L-tyrosine,parent/child or substring (generic vs specific)
PROPYL GALLIC ACID,MS2,10607,n-propyl gallate,30778,gallic acid,parent/child or substring (generic vs specific)
Paclobutrazol,MS2,139345,"(R,R)-paclobutrazol",139344,"(S,S)-paclobutrazol",same-molecule variant (stereo/charge/acid-anion)
Prunasin,MS2,25150,prunasin,17396,(R)-prunasin,same-molecule variant (stereo/charge/acid-anion)
S-1-pyrroline-5-carboxylate,CURATION,1372,1-pyrroline-5-carboxylic acid,17388,(S)-1-pyrroline-5-carboxylate,same-molecule variant (stereo/charge/acid-anion)
S-methylcysteine,CURATION,229268,Methylcysteine,45658,S-methylcysteine,same-molecule variant (stereo/charge/acid-anion)
S-methylmethionine,CURATION,67050,S-methyl-L-methioninate,232419,S-methylmethionine,divergent (different compound)
Tropine,MS2,15742,pseudotropine,15884,tropine,parent/child or substring (generic vs specific)
Y 26763,MS2,18186,tyrosine,17895,L-tyrosine,same-molecule variant (stereo/charge/acid-anion)
acetoacetate,MS2,15344,acetoacetic acid,13705,acetoacetate,same-molecule variant (stereo/charge/acid-anion)
aconitate [cis or trans],CURATION,32805,cis-aconitic acid,16383,cis-aconitate(3-),same-molecule variant (stereo/charge/acid-anion)
anthranilate,CURATION,30754,anthranilic acid,16567,anthranilate,same-molecule variant (stereo/charge/acid-anion)
